train_loss,train_r2,train_mape,val_loss,val_r2,val_mape
24763.508696056546,-5.385907173156738,90.020744,22976.415147569445,-5.504585266113281,89.91359
22911.535869295636,-4.891473293304443,85.35941,21163.513671875,-4.996384620666504,85.2018
20984.513036334327,-4.348606109619141,79.96091,19174.51953125,-4.438666343688965,79.74566
18937.805168030754,-3.7899394035339355,74.04024,17128.987413194445,-3.8648881912231445,73.7613
16861.157784598214,-3.235200881958008,67.71132,15099.728569878473,-3.2954163551330566,67.36405
14826.150909908234,-2.705151319503784,61.133648,13163.350260416666,-2.751711845397949,60.71628
12908.357328869048,-2.2095155715942383,54.369717,11355.105685763889,-2.24363374710083,53.879356
